Algorithm name,Solution,Iterations,Time
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.00897526741027832
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.008975982666015625
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.009975194931030273
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.009973287582397461
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.008951425552368164
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.008975505828857422
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.009974002838134766
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.008981943130493164
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.008975982666015625
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.010970592498779297
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.009973287582397461
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.009973526000976562
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.009972810745239258
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.010969877243041992
CSP Backtracking,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",20280,0.07380151748657227
CSP Backtracking,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",20280,0.07181954383850098
CSP Backtracking,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",20280,0.07377958297729492
CSP Backtracking,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",20280,0.07184171676635742
CSP Backtracking,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",20280,0.07079434394836426
CSP Backtracking,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",20280,0.07779264450073242
CSP Backtracking,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",20280,0.07483220100402832
CSP Backtracking,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",20280,0.07676959037780762
CSP Backtracking,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",20280,0.0718076229095459
CSP Backtracking,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",20280,0.07383489608764648
CSP Backtracking,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",20280,0.0707862377166748
